review_uid,destination,language_review,text_clean,asp_atractivos,asp_costos,asp_seguridad,asp_accesibilidad,asp_limpieza,asp_atencion_servicio,asp_gastronomia,asp_alojamiento,asp_clima,asp_aforo_multitudes
gm_a28c7398395dc6fd,Centro Histórico de Lima,es,"Hermosa como todo el Perú súper limpia bastantes restaurantes, bastante seguridad grande bastantes fachos aveces se encuentra cerrada por manifestaciones previas así es que hay que estar atento a las noticias pero es muy bonito la catedral y la arquitectura muy bonita",,,,,,,,,,
gm_40d635b527a3c89a,Santuario Histórico de Machu Picchu,en,"Life time experience! Be patient the weather can be very unpredictable specially is you go on a rainy season, take the early entrance ticket so you can have more time to enjoy the amazing views and vibes from this magical place",,,,,,,,,,
gm_cc21006a2a146706,Monasterio de Santa Catalina,en,"Must see if you are blessed to visit Arequipa. Make sure to ask for Claudia, great tour guide, clear English, very knowledgeable and funny!",,,,,,,,,,
gm_2fc85c7882ab9b27,Monasterio de Santa Catalina,es,"No soy visitante frecuente de museos o similares, pero este lugar es bastante atrapante. Recomiendo solicitar el servicio de guiado. Hay descuento para peruanos.",,,,,,,,,,
gm_eb47d0664c374a19,Santuario Histórico de Machu Picchu,es,"Precioso, lo único malo es que tarda mucho en salir el bus. Porfavor si lo visitan, respeten y cuiden el lugar. Igual para todos los sitios arqueológicos, hay que demostrar buena cultura.",,,,,,,,,,
gm_1125d90c348a1fec,Monasterio de Santa Catalina,en,Beautiful and colorful place. Huge! Lots of places to walk and admire the houses once were inhabited by the nuns. Go until the end. Check the bakery!! Also you can go to the rooftop and check the volcano view.,,,,,,,,,,
gm_bf814226f8ee61a4,Valle del Colca,es,"Ahora puedes hacer Colca en un full day, te recogen 3am y llegas 7am tomas desayuno ahora en pandemia, desayuno vivencial. El paisaje el lindo, hace mucho frío en el viaje, ver a los cóndores es la idea principal, tiene el mirador y puedes ver el vuelo de los cóndores. Los baños termales parada obligatoria.",,,,,,,,,,
gm_1075ddb7e4ad3204,Valle del Colca,es,"Lo malo de la visita es la comida tienen un restaurant que ofrece bufet, y su comida no vale la pena advertidos",,,,,,,,,,
gm_086292c42fe23434,Monasterio de Santa Catalina,es,"Hermoso Convento, Con mucha ventilacion, cuidados en su conservación, guías muy amables en todos los idiomas. Una maravillosa visita y excelentes fotos de recuerdo.",,,,,,,,,,
gm_19370cc601f723e4,Centro Histórico de Lima,es,"Es increíble poder conocer el lugar donde el Gral José de San Martín proclamará la independencia del Perú, conocer la pileta y la fama recorrer la plaza y ver los alrededores es muy hermoso antiguo y histórico, lo recomiendo.",,,,,,,,,,
gm_df6efce698f553e4,Santuario Histórico de Machu Picchu,en,"Great spot, we went in Peru Rail. Great food , site, people. Be ready for physical challenge who are not so active. Once in life time experience.",,,,,,,,,,
gm_7c4bdd4830474a3e,Museo Tumbas Reales del Señor de Sipán,es,"Museo a 30 minutos de Chiclayo a 1.50 en bus, se encuentra a 2 cuadras de la pista principal de Lambayeque amplio bien implementado con un recorrido descendente el cual inicia con un video. Hay piezas originales y bellas halladas en la misma tumba de Sipan. El museo está cerrado los días lunes y no se puede ingresar con celulares ni ningún depositivo. Alrededor del museo hay tiendas de souveniers independientes donde tienes que regatear",,,,,,,,,,
gm_a2855220e18090a8,Ciudadela de Kuélap,es,"Impresionante la arquitectura de kuelap, estoy feliz de haberla podido visitar, cuiden el patrimonio nacional",,,,,,,,,,
gm_7b97c486ea5935b5,Museo de Sitio Huaca Pucllana,es,Bueno. Aqui se muestra el templo que fue construido por la cultura Lima como adoracion al Mar de la Costa y los alimentos infinitos que proveía … eso es aproximadamente del año 400 despues de Cristo hasta el 650 dC… la cultura perece con el tiempo y es encontrada por la cultura Huari/Wari en 1100 dC y siguen conservando el lugar como templo pero ellos entierran a sus muertos con textiles con colores. mascaras y mantos con detalles andinos… pasan los años y la cultura perece y el templo es encontrado por la cultura Yschma en los años 1450dC … todos respetaron el lugar y le dieron distintos tipos de adoraciones… Los incas nunca se asentaron en ese templo y es raro porque tuvieron un lugar ocupado a unos 4kilometros de esa huaca… y Bueno asi termina mi reseña.,,,,,,,,,,
gm_27df25e50228c638,Circuito Mágico del Agua,es,"Solo de tner una mojadita en esta expriencia de estar entre las luces de tner de ver todas los colores y olores solo te puedo decir que todos las fotografias que puedes tnder es lo meojr que puedes pasar , haber ghoy en dia nadie ah tenido esa opinion de tener una citaahy porque yo cuando andaba en la noches aveces se me ocurria bajar con alguien espceial y lo cual que me encantaba quedarme hastya que cerraban ojala se pueda mejora muchas cosas como las exposuiciones o poder tener otro tipos de ventas los cuales de cuales me tenga que indentificar es lo unico que yo quiero la verdad de que pueda crecer demasiado",,,,,,,,,,
gm_c91a0ef30cffcd92,Líneas y Geoglifos de Nasca y Palpa,es,Bonito paisaje solo hecho en el Perú de ahí inventan la película Las Señales,,,,,,,,,,
gm_cf69cb01c78973ce,Santuario Histórico de Machu Picchu,en,What an amazing place. To think that this was built so long ago and has lasted longer than my 10 year old house. Unbelievable on how this place was constructed with no computers or concrete cutting wheels,,,,,,,,,,
gm_4d8de3f3789d8d38,Líneas y Geoglifos de Nasca y Palpa,en,"Amazing place to visit and a definite must. We booked a little plane to overfly the lines. Amazing view from above. As the planes are little, be prepared for the ADVENTURE of air holes! :D",,,,,,,,,,
gm_79b350b61c7d9dd5,Centro Histórico de Lima,en,"The centre of Lima is full of stately buildings from the colonial period, elegant houses with window boxes and balconies, ornate churches, and modern museums housed within beautiful architecture with exquisite azulejos or ceramic tiles. There are so many places to explore so if you're short on time, you need to pick and choose.",,,,,,,,,,
gm_72eba0065644530f,Circuito Mágico del Agua,en,"This place was amazing... only wish we could have come back in the evening, when there are lights. Given the opportunity, I'd come again.",,,,,,,,,,
gm_44dfd3b80cf84d8a,Santuario Histórico de Machu Picchu,es,"El parque Arqueologico de Machu Pichu, sin dudas es una de las Maravillas del mundo más imponente que conocí. Ademas de la belleza del paisaje, su mistica y pasado historico de la cultura Incaica, las vistas panorámicas desde la ciudadela son impresionantes. Hice el recorrido en el primer horario, me pareció excelente la opción, ya que te encuentras casi solo caminando por la ciudadela, ya que la gran mayoría de los turistas comienzan a llegar unas horas más tarde, vale la pena comenzar a las 5 am, si lo quieres disfrutar en paz y tranquilo.",,,,,,,,,,
gm_a7ff7d8afa696eea,Reserva Nacional de Paracas,es,"Dale Like 👍 Hermoso acantilado donde se puede apreciar la playa, sus formaciones rocosas y a lo lejos el litoral, tambien tienes playa la mina que es muy concurrida, esta el museo de sitio, existen varios puntos de obserbación que tienes que visitar.",,,,,,,,,,
gm_88a9987956d1e9fe,Monasterio de Santa Catalina,en,Beautiful place but kind of grimm history considering what the nuns did to themselves (fastening and sleep deprivation are the simplest things). Enjoying it takes about 90 minutes to 2 hours if you are thorough. On Tuesdays and Wednesdays they are now open until 8pm...,,,,,,,,,,
gm_d5be80058c3cca2e,Circuito Mágico del Agua,es,"Si buen lugar, solo procuren ir temprano y asi no hacwr mucha cola en la noche",,,,,,,,,,
gm_d6d5706a68ce65c9,Museo de Sitio Huaca Pucllana,en,"Huaca Pucllana: 4000-year-old pyramid, check. Boring guide who puts you to sleep, check. If you're gonna make me walk on ancient genius pyramid, at least make the tour entertaining. Suggestion: skip the guide and hit up the Larco Museum first. Learn more over there Trust me, you'll be way more impressed when you finally get to the real education. And honestly, just read the Wikipedia page, you'll learn more. Need tour guide and takes about one hour.",,,,,,,,,,
gm_38fd9942e3b02fc1,Valle del Colca,es,"Un lugar que encierra historia y cultura, una maravilla natural digna de visitar, recomiendo tomarse mas de 1 dia para visitar",,,,,,,,,,
gm_21ee6842bc19c7ef,Valle del Colca,en,"It is an amazing experience to reach el Cañon del Colca in Arequipa. It is the world's third deepest canyon in the world. You will have the opportunity to see the nearby villages and the many activities they provide. Once you reach el mirador la Cruz del Cóndor, you will be delighted to see the condors as they fly across the sky and dive deep into the canyon. Sunscreen, hat and water are a must during this helada season. Walk at your own pace to enjoy the beautiful views and take lots of pictures, cheers! ✨️",,,,,,,,,,
gm_b9bae3106792af8f,Circuito Mágico del Agua,es,"Linda la temática instagrameable que hay, vale la pena! No me gusta que ya no sea exclusivo el parque de piletas de agua y hay puro puesto de comida y juegos que no habían años atrás, ya no es un parque solo de agua.",,,,,,,,,,
gm_39794d056ef3cd88,Museo de Sitio Huaca Pucllana,es,"Fuimos a la salida de un curso el día domingo, y esta fue mi segunda vez asistiendo. Sin embargo, por segunda vez consecutiva noté los mismos detalles que deberían mejorar. Los recorridos son demasiado planos y se vuelven algo monótonos, además de que los grupos son muy grandes, lo que hace que no todos los visitantes presten atención o se sientan incluidos. En mi caso, la señorita que guiaba avanzaba muy rápido y parecía dirigirse solo a un grupo reducido de personas, dejando de lado a los demás, sin atender las dudas que teníamos. También avanzaba a su propio ritmo, sin esperar que el resto del grupo se reagrupe, lo cual me pareció poco considerado. Fuera de esos puntos, el lugar en sí está muy bien cuidado. Se nota el cariño y el buen manejo que tienen, ya que todo se ve limpio, ordenado y en excelente estado. Aunque todo está muy bien conservado, hay ciertas partes como la zona final del recorrido, en la parte más alta de la huaca endonde se sienten algunos tramos un poco peligrosos, sobre todo al descender, ya que hay curvas pronunciadas sin barandas o elementos de seguridad que podrían evitar accidentes. En general, es un lugar valioso y bien preservado, pero el servicio de guiado y la seguridad en algunos tramos podrían mejorar mucho la experiencia del visitante.",,,,,,,,,,
gm_abfaf6c60a448e30,Santuario Histórico de Machu Picchu,en,Quite hard and long. But worth the ride. However we didn't get to see much because of the fog. But it was amazing still!!!,,,,,,,,,,
gm_868da08e0fea5fcd,Circuito Mágico del Agua,en,"Enjoyable evening, walking around the different coloured fountains very impressive, some of which you can walk through (you do get wet), there is plenty of places to sit and its in a large green park. Good for children",,,,,,,,,,
gm_f7df8226a1870032,Circuito Mágico del Agua,es,"Hermoso lugar, sobretodo de noche ya que se encienden luces que alumbran y le dan un toque hermoso a las piletas de agua Muchos quioscos, los precios son un poco altos pero accesibles",,,,,,,,,,
gm_a434335f2844a103,Santuario Histórico de Machu Picchu,en,"If you enjoy deplorable huge crowds, aggressive 'guides', restricted movement, late trains and buses, bad food and overpriced everything - then you'll LOVE this place. Honestly.. Wish I never came. Worst part of my Peru trip by a mile. Only part I enjoyed was the walk down from Machu pichu.. Besides all the trash everywhere. I would be ashamed if this was my country.",,,,,,,,,,
gm_e9e8c6755a2e2e31,Museo de Sitio Huaca Pucllana,en,"I wish I had gotten the name of my guide! She was amazing! Smart, passionate, and flawless English. We learned a lot!",,,,,,,,,,
gm_ac86cfb56c5327da,Centro Histórico de Lima,en,"Impressive main square in the old town of Lima. So very different from the rest of the city with surrounding buildings maintained perfectly, a large walking area and a huge fountain in the very center of the main square.",,,,,,,,,,
gm_34f7c0a7f376130d,Santuario Histórico de Machu Picchu,es,"Un lugar muy hermoso, en donde la arquitectura habla por si sola. Subir las montañas es algo genial, estás en contacto con la naturaleza al 100. Las entradas sólo se pueden pagar vía internet o en lugares habilitados, no se pueden pagar al llegar a las ruinas (cosa que yo no sabía).",,,,,,,,,,
gm_4cf768c852ad3021,Santuario Histórico de Machu Picchu,en,"It's a nice place impressive views, but it does need to have better routes you can get lost easily",,,,,,,,,,
gm_8f6847efe9ee4794,Circuito Mágico del Agua,es,"Maravilloso y mágico lugar galardonado y reconocido mundialmente. No me canso de ir una y otra vez y llevar a mis amistades a disfrutar esta magnifica experiencia. Recomendado para ir con niños tambien. El costo de ingreso es solo 4 soles por persona, equivalente a un euro o algo mas que un dolar. El espectaculo de luces se aprecia mejor cuando anochece.",,,,,,,,,,
gm_208a846e2e905e4c,Valle del Colca,es,"Es un lugar fuera de este mundo, totalmente hermoso. Hace muchísimo calor y la caminata puede ser dura, bloqueador, gorro y zapatos para caminata siempre es lo mas recomendable. Nosotros fuimos con el tour de Le Foyer, altamente recomendado.",,,,,,,,,,
gm_cf5f9ecb27fcd147,Circuito Mágico del Agua,en,Nice to visit whilst in Lima. Keep in mind getting a taxi after a light session isn’t difficult they just rip the tourists off. Uber just cancel wait a few minutes for the exiting crowd to disappear.,,,,,,,,,,
gm_19b8c26f9c84c653,Monasterio de Santa Catalina,es,"Muy bonito e interesante la historia del monasterio, hacer el recorrido con un guía es la mejor opción, después del recorrido te puedes quedar a tomarte fotos.",,,,,,,,,,
gm_abf36f0e36c9f4e9,Santuario Histórico de Machu Picchu,es,"Hermoso lugar pero en Noviembre ir tan temprano no vale la pena porque todo esta nublado y la lluvia hace resbalosa las rocas, me dicen que a partir de las 11 am se despeja, pero igual es un bonito lugar",,,,,,,,,,
gm_15655affd75167ce,Santuario Histórico de Machu Picchu,es,"Es precioso, cumplí mi sueño después de muchos años. La caminata como tal no es pesada, actualmente para subir a la entrada ya hay autobuses que tomás en Aguascalientes, el sitio está muy limpio y bien conservado puedes ver llamas y alpacas alimentandose por ahí, lleva repelente de mosquitos y agua. No se arrepentirán de ir",,,,,,,,,,
gm_687cff95aa3ce33a,Reserva Nacional de Paracas,es,Es una playa hermosa el agua es helada pero me relajo mucho el agua es verde transparente se lo recomiendo no se arrepentirán😎😍😉,,,,,,,,,,
gm_8edb5443591e55fb,Circuito Mágico del Agua,es,"Es un parque temático más que nada para la familia, para pasar una tarde y recrearse, las fuentes son el principal atractivo, pero más allá de eso no hay mucho para ver. Hoy por hoy algunas de las fuentes están cercadas, por ende no se puede interactuar. Aún así el precio de la entrada es de $1 USD y es un buen lugar para ir cuando se te agotaron las opciones y tomarte algunas fotos.",,,,,,,,,,
gm_470fb4a4e8c93881,Museo Tumbas Reales del Señor de Sipán,es,"Muy ordenado, el guía preparado. Hemos aprendido mucho sobre la cultura, incluyendo que es uno de los 10 mejores museos del mundo",,,,,,,,,,
gm_4a162a348fd2adfa,Circuito Mágico del Agua,es,"Se puede comprar entrada en línea, así se evita algo de tiempo en fila, las indicaciones no son muy claras, hay personas afuera del parque explicando a dónde ir, el parque por dentro es bonito, el show es chévere sobre todo para ir con niños, deben ir con tiempo para ponerse frente a la pileta principal y poder ver sin dificultad lo que se muestra. A las afueras es un poco desordenado, lleno de comerciantes informales y puestos de comida.",,,,,,,,,,
gm_37a2134f96290a93,Monasterio de Santa Catalina,en,Another fabulous site in Arequipa. 45 sols to enter which is a little expensive but you can spend a long time there. Optional English guides avail for 20 sols which I think was worth it for their knowledge,,,,,,,,,,
gm_1797d75b5e0d14b2,Circuito Mágico del Agua,es,"Realmente espectacular, estuve allí con mi familia y fue genial, lo recomiendo con los ojos cerrados, la única pega que le veo es que el audio del espectáculo central no era muy bueno pues lo llegabas a captar por el volumen.",,,,,,,,,,
gm_f38b1ec70386187b,Circuito Mágico del Agua,es,"Un gran lugar al alcance de todos. Muy bien cuidado y las fuentes son muy bonitas. Recomendado en la noche y cada hora hay un espectáculo de agua, luces láser y música. Muy bonito para toda la familia. Me pareció un lugar seguro porque es un parque cerrado y pagas tu entrada.",,,,,,,,,,
gm_9ad657767d5a5c00,Circuito Mágico del Agua,en,"Great park, this one has the fountains going, think it was S.4 per person for entrance. They offer guides but you don't need them.",,,,,,,,,,
gm_94c47208f26abb47,Santuario Histórico de Machu Picchu,en,This is everything it is made out to be. The Inkas history is nothing short of amazing. The architecture is something that must be seen.,,,,,,,,,,
gm_4b319b1fe7eaac4c,Santuario Histórico de Machu Picchu,en,"Absolutely fascinating! Awesome in size and location. Solid walls ,buildings ,steep terraces. Peru tourism is very well organised .controlling the vast number of visitors to this site. Visited as the end of a 14 day small group tour so all the elements were co ordinated by the tour operator(UK based but with local agent) Train into town, Bus to and from site and site entry. All tickets are timed. Perfect weather. Not too cold/hot/misty or rainy! I did struggle a bit in the initial part of the ascent but after that it was fine. There are no toilets inside the site but plenty by the main entrance/bus stop. Remember to take water with you(in re usable bottle) and not a lot else(camera of course) as big bags not allowed.",,,,,,,,,,
gm_1b2cbc5be1003408,Líneas y Geoglifos de Nasca y Palpa,es,Una exposición muy bien montada y organizada que no solo contempla la cultura nasca sino que la relaciona con otras de alrededor gracias a los descubrimientos arqueológicos recientes. Las fotografías y los montajes en video son excepcionales y recomiendo visitarla antes de que termine con tiempo y dedicando algunos minutos a cada sala y cerca de media hora a las líneas que representan cientos de animales y otras formaciones geométricas. Aprovecharlo puesto que es una ocasión única para aprender sobre una cultura milenaria y misteriosa.....,,,,,,,,,,
gm_68a43b20f44964b0,Museo Tumbas Reales del Señor de Sipán,es,"Me encantó, las piezas de oro, lo grandioso de los Mochicas, su pasado, todo está en este hermoso museo. Lástima que no dejan tomar fotos, tienes que dejarlo en un cuarto debajo del museo.",,,,,,,,,,
gm_7d337693dcbf0736,Centro Histórico de Lima,es,"Un lugar agradable para compartir y sentarse con la familia. la construcción de la iglesia, el palacio, calles, y algunos comercios conserva aun su historia, sus calles limpias, mucha seguridad.",,,,,,,,,,
gm_1de90050ca589abb,Monasterio de Santa Catalina,es,"Lugar lleno de riqueza histórica cultural, arquitectónica, religiosa. Una ciudad dentro de otra ciudad. Para ingresar directamente, mejor comprar el ticket de ingreso por la web.",,,,,,,,,,
gm_60c809684895f61d,Monasterio de Santa Catalina,es,És un monasterio muy grande y laberíntico. Lleno de color. El monasterio más bonito que he visto jamás.,,,,,,,,,,
gm_177cb2247ddc7652,Circuito Mágico del Agua,en,"You have to go to this place, if you go to Lima. Its a magical park with light water circuits. You can get wet hehe be ready for that! You can go at night and enjoy the show at the fantasy fountain. Its beautiful! On weekends, its a little bit crowded. If you can go in a weekday, its better! The entrance is 4 soles.",,,,,,,,,,
gm_aa53346c1aa2d5df,Santuario Histórico de Machu Picchu,en,Machi Picchu are divided into different entry levels and we were in the highest one. Highly recommend to add 1 more entry ticket to walk inside but we don’t know this before. Our guide didn’t explain to us and it was too bad for this.,,,,,,,,,,
gm_8b82a0e9d1f8a2f1,Reserva Nacional de Paracas,es,"Bonito, todo limpio, el mar es bastante sereno . No permiten el ingreso de anilames ni comida. Hay estacionamiento, baños y vestidores. Alquilan sombrillas y sillas.",,,,,,,,,,
gm_7ea91cb785bed9f1,Circuito Mágico del Agua,es,"Estuvimos en Navidad de Coca cola en el circuito y si bien la empresa se lució: Stands de shows gratuitos, expendio gratuito de coca cola, y muy buena decoración; pese a la buena disposición del personal; falta organización logística a nivel gerencial para medidas de control de aforo al ingreso de público y automovilístico en Aras de evitar incidentes Playas ( No formales) al exterior debido a que el propio del circuito es desbordado. Ideal ir temprano para uso y disfrute de los chicos",,,,,,,,,,
gm_639126ff29a8509f,Circuito Mágico del Agua,es,Excelente interesante la historia que cuenta por medio del juego de luces. Accesible y muy seguro. Recomendado al 100 % La entrada es de 5 soles y la experiencia excelente.,,,,,,,,,,
gm_fd4ffead61c7460b,Museo de Sitio Huaca Pucllana,en,Really good tour of an interesting place. It is quite exposed during the day so it is best to wear a hat and put on a shirt with long sleeves and long trousers. The sun is deceptive in Lima. The air temperature is not that high but the sun is extremely strong. The guides are covered head to toe and carry an umbrella for as shade. Best to follow their lead.,,,,,,,,,,
gm_bf0a3ea2198c3f2f,Monasterio de Santa Catalina,es,"Es uno de los puntos de excelencia para visitar en la ciudad de Arequipa en Perú. Se puede vivir la historia y tradiciones de lugar, de manera personal y con la compañía de un fuia del lugar. Se recomienda dedicarle al menos medio día para poder contemplar toda su arquitectura, arte y miradores que provee al visitante una mayor apreciación de la ciudad.",,,,,,,,,,
gm_1933ea48575a4228,Valle del Colca,es,"Hermoso lugar, ver lo pequeñito que somos frente a inmensa creacion, ver volar libremente al Cóndor relajo mi mente. :)",,,,,,,,,,
gm_9ea700b263458118,Centro Histórico de Lima,es,"Fue divertido y conociendo más de diversidad cultural de regiones del Perú en sus presentaciones en la Plaza de Armas, fue muy entretenido paseando con mi novia y amistades",,,,,,,,,,
gm_a58fb00af7c0ed96,Santuario Histórico de Machu Picchu,en,Amazing place! Did the 4 day hike and it’s was incredible! Saw the sunrise over the mountain and got to explore around! Definitely a bucket list must do!,,,,,,,,,,
gm_2ed2b26261b22304,Santuario Histórico de Machu Picchu,es,"Un lugar mágico donde podrás conocer más sobre la vida de nuestros antepasados, perfecto para recargar energías a solas, en pareja, con amigos o en familia. Se recomienda llevar agua, no haber ingerido alimentos pesados y haber dormido bien la noche anterior. Si sabes que te afecta las alturas te sugiero llevar alguna pastilla para el soroche. ¡Buen viaje!",,,,,,,,,,
gm_73da90fcb8771c89,Santuario Histórico de Machu Picchu,es,Increíble! Tienen que ir si tienen la oportunidad. Recomiendo reservar y pagar todo con tiempo. Los autobuses salen muy temprano desde Cusco. Deben tomar eso cuenta. Les recomiendo tomar el tren hasta Machu Picchu. Es una experiencia sin igual. También es bueno pagar un guía.,,,,,,,,,,
gm_eb686fc89b6af7d8,Circuito Mágico del Agua,es,Lugar perfecto para entretenimiento familiar o amical o de parejas. Tiene de todo para que pases momentos lindos e inolvidables a un costo bastante razonable,,,,,,,,,,
gm_0e347e0776854b7e,Centro Histórico de Lima,es,"Hermoso lugar. Se contempla las sonrisa, en todos los visitantes. Lugar para fotos, especiales. Caminar, respirar el aire de la naturaleza. La vigilancia, excelente y atento para cualquier necesidad. Recordé, un lugar de mi Venezuela amada. Un domingo diferente, en paz y familiar, es la mejor opción.",,,,,,,,,,
gm_5817095d7fbbc8dd,Centro Histórico de Lima,es,"Lugar hermoso. Sitio turistico reconocido a nivel internacional. Las estructuras construidas a su alrededor son de la epoca de la colonia. Espacio abierto donde puedes ir en pareja o si lo deseas en familia. En sus alrededores hay sitios para visitar, asi como museos y catedrales. Zona muy segura y limpia. Hay un carruaje tirado por caballos donde puedes dar paseos.",,,,,,,,,,
gm_ae2a52a93f0d995f,Museo de Sitio Huaca Pucllana,en,Interesting place to visit to learn about Pre-Incan people of Peru. There's a restaurant here that's highly rated. Didn't visit it though.,,,,,,,,,,
gm_dd0076983a1d2f5c,Ciudadela de Kuélap,es,"El lugar es muy bonito, limpio y sobre todo durante todo el trayecto y en la fortaleza se guardan los protocoloso de higiene. Recomendadísimo 👍🏼",,,,,,,,,,
gm_0ca18d15d54e3153,Museo Tumbas Reales del Señor de Sipán,es,"Lo máximo, quedé encantado Increíble. Tienen que visitarlo.. El oro.. La historia.. Todo es impresionante.",,,,,,,,,,
gm_0838109c8eb3a60a,Valle del Colca,es,"Es una bonita experiencia, si eres de los que disfrutan del paisaje, para relajarte tienes las aguas termales y si eres de los que te gusta la adrenalina hay paseos en cuatrimoto 🏍️",,,,,,,,,,
gm_80c0857f3c3b5cb7,Monasterio de Santa Catalina,es,"Visité este lugar un sábado de abril 2023, la entrada costó S/40. Debo precisar que es un lugar muy grande con varios ambientes por visitar y que el servicio de guía es un costo adicional. Recomiendo tener cuidado con algunos ambientes porque pueden ser pesados, aprovechen la afluencia de los visitantes para ingresar en grupo.",,,,,,,,,,
gm_0240d8962b665e7a,Santuario Histórico de Machu Picchu,es,"Machupichu pueblo es un lugar perfecto, es una localidad muy pequeña pero acogedora, podrás comprar lo nesesario para preparar tu ascenso a machupichu, además podrás compartir una de las especialidades del lugar como pizzas entre otras preparaciones que puedes elegir, hay muchos pubs donde podrás encontrar con la. Comunidad viajera que anda en el. Lugar, puedes comprar los ticket de bus y te recomiendo que lo tomes lo más temprano ya que se hacen filas largas, pero estas son espeditas, saludos y disfruta de esta maravilla",,,,,,,,,,
